Cylinders,Displacement,Horsepower,Weight,Acceleration,Model Year,acc_on_power,acc_on_cyl
4.0,122.0,86.0,2220.0,14.0,71.0,0.16279069767441862,3.5
8.0,304.0,150.0,3672.0,11.5,73.0,0.07666666666666666,1.4375
8.0,305.0,140.0,4215.0,13.0,76.0,0.09285714285714286,1.625
6.0,173.0,115.0,2700.0,12.9,79.0,0.11217391304347826,2.15
6.0,168.0,120.0,3820.0,16.7,76.0,0.13916666666666666,2.783333333333333
4.0,98.0,83.0,2219.0,16.5,74.0,0.19879518072289157,4.125
4.0,146.0,67.0,3250.0,21.8,80.0,0.32537313432835824,5.45
6.0,250.0,72.0,3432.0,21.0,75.0,0.2916666666666667,3.5
8.0,318.0,150.0,3399.0,11.0,73.0,0.07333333333333333,1.375
8.0,260.0,110.0,4060.0,19.0,77.0,0.17272727272727273,2.375
4.0,121.0,115.0,2795.0,15.7,78.0,0.13652173913043478,3.925
4.0,90.0,48.0,1985.0,21.5,78.0,0.4479166666666667,5.375
4.0,97.0,78.0,1940.0,14.5,77.0,0.1858974358974359,3.625
6.0,258.0,120.0,3410.0,15.1,78.0,0.12583333333333332,2.5166666666666666
4.0,141.0,71.0,3190.0,24.8,79.0,0.34929577464788736,6.2
4.0,134.0,90.0,2711.0,15.5,80.0,0.17222222222222222,3.875
6.0,199.0,97.0,2774.0,15.5,70.0,0.15979381443298968,2.5833333333333335
6.0,232.0,90.0,3085.0,17.6,76.0,0.19555555555555557,2.9333333333333336
4.0,98.0,63.0,2051.0,17.0,77.0,0.2698412698412698,4.25
4.0,97.0,78.0,2188.0,15.8,80.0,0.20256410256410257,3.95
8.0,350.0,125.0,3900.0,17.4,79.0,0.1392,2.175
6.0,250.0,100.0,3329.0,15.5,71.0,0.155,2.5833333333333335
8.0,429.0,198.0,4952.0,11.5,73.0,0.05808080808080808,1.4375
6.0,225.0,105.0,3439.0,15.5,71.0,0.14761904761904762,2.5833333333333335
6.0,231.0,105.0,3425.0,16.9,77.0,0.16095238095238093,2.8166666666666664
6.0,250.0,110.0,3645.0,16.2,76.0,0.14727272727272728,2.6999999999999997
6.0,156.0,108.0,2930.0,15.5,76.0,0.14351851851851852,2.5833333333333335
8.0,260.0,110.0,3365.0,15.5,78.0,0.1409090909090909,1.9375
8.0,400.0,175.0,5140.0,12.0,71.0,0.06857142857142857,1.5
4.0,79.0,67.0,1950.0,19.0,74.0,0.2835820895522388,4.75
4.0,120.0,87.0,2979.0,19.5,72.0,0.22413793103448276,4.875
8.0,318.0,135.0,3830.0,15.2,79.0,0.11259259259259259,1.9
4.0,91.0,70.0,1955.0,20.5,71.0,0.29285714285714287,5.125
8.0,455.0,225.0,4951.0,11.0,73.0,0.04888888888888889,1.375
4.0,122.0,88.0,2500.0,15.1,80.0,0.1715909090909091,3.775
4.0,100.0,92.0,2320.0,15.8,81.0,0.17173913043478262,3.95
6.0,225.0,100.0,3430.0,17.2,78.0,0.172,2.8666666666666667
4.0,112.0,85.0,2575.0,16.2,82.0,0.19058823529411764,4.05
6.0,155.0,107.0,2472.0,14.0,73.0,0.1308411214953271,2.3333333333333335
8.0,350.0,155.0,4502.0,13.5,72.0,0.08709677419354839,1.6875
8.0,400.0,150.0,3761.0,9.5,70.0,0.06333333333333334,1.1875
4.0,140.0,86.0,2790.0,15.6,82.0,0.18139534883720929,3.9
4.0,151.0,90.0,2670.0,16.0,79.0,0.17777777777777778,4.0
4.0,122.0,85.0,2310.0,18.5,73.0,0.21764705882352942,4.625
6.0,225.0,100.0,3630.0,17.7,77.0,0.177,2.9499999999999997
4.0,121.0,98.0,2945.0,14.5,75.0,0.14795918367346939,3.625
4.0,113.0,95.0,2228.0,14.0,71.0,0.14736842105263157,3.5
8.0,350.0,170.0,4165.0,11.4,77.0,0.06705882352941177,1.425
8.0,262.0,110.0,3221.0,13.5,75.0,0.12272727272727273,1.6875
8.0,400.0,190.0,4325.0,12.2,77.0,0.06421052631578947,1.525
8.0,305.0,145.0,3880.0,12.5,77.0,0.08620689655172414,1.5625
4.0,135.0,84.0,2370.0,13.0,82.0,0.15476190476190477,3.25
6.0,232.0,100.0,3288.0,15.5,71.0,0.155,2.5833333333333335
8.0,318.0,150.0,3755.0,14.0,76.0,0.09333333333333334,1.75
4.0,156.0,105.0,2800.0,14.4,80.0,0.13714285714285715,3.6
6.0,225.0,100.0,3233.0,15.4,76.0,0.154,2.566666666666667
4.0,104.0,95.0,2375.0,17.5,70.0,0.18421052631578946,4.375
5.0,183.0,77.0,3530.0,20.1,79.0,0.26103896103896107,4.0200000000000005
4.0,135.0,84.0,2525.0,16.0,82.0,0.19047619047619047,4.0
4.0,140.0,89.0,2755.0,15.8,77.0,0.17752808988764046,3.95
6.0,232.0,100.0,2901.0,16.0,74.0,0.16,2.6666666666666665
8.0,267.0,125.0,3605.0,15.0,79.0,0.12,1.875
8.0,400.0,190.0,4422.0,12.5,72.0,0.06578947368421052,1.5625
4.0,91.0,67.0,1850.0,13.8,80.0,0.20597014925373136,3.45
4.0,107.0,90.0,2430.0,14.5,70.0,0.16111111111111112,3.625
6.0,225.0,110.0,3620.0,18.7,78.0,0.16999999999999998,3.1166666666666667
4.0,86.0,65.0,1975.0,15.2,79.0,0.23384615384615384,3.8
4.0,85.0,65.0,1975.0,19.4,81.0,0.29846153846153844,4.85
6.0,225.0,105.0,3613.0,16.5,74.0,0.15714285714285714,2.75
6.0,173.0,115.0,2595.0,11.3,79.0,0.0982608695652174,1.8833333333333335
4.0,90.0,70.0,1937.0,14.0,75.0,0.2,3.5
4.0,140.0,88.0,2890.0,17.3,79.0,0.1965909090909091,4.325
8.0,360.0,215.0,4615.0,14.0,70.0,0.06511627906976744,1.75
6.0,200.0,81.0,3012.0,17.6,76.0,0.21728395061728398,2.9333333333333336
8.0,383.0,180.0,4955.0,11.5,71.0,0.06388888888888888,1.4375
6.0,258.0,110.0,3730.0,19.0,75.0,0.17272727272727273,3.1666666666666665
4.0,107.0,75.0,2205.0,14.5,82.0,0.19333333333333333,3.625
4.0,116.0,90.0,2123.0,14.0,71.0,0.15555555555555556,3.5
8.0,429.0,208.0,4633.0,11.0,72.0,0.052884615384615384,1.375
4.0,105.0,75.0,2230.0,14.5,78.0,0.19333333333333333,3.625
4.0,90.0,70.0,1937.0,14.2,76.0,0.20285714285714285,3.55
4.0,98.0,80.0,2164.0,15.0,72.0,0.1875,3.75
8.0,304.0,193.0,4732.0,18.5,70.0,0.09585492227979274,2.3125
4.0,140.0,90.0,2408.0,19.5,72.0,0.21666666666666667,4.875
4.0,140.0,72.0,2408.0,19.0,71.0,0.2638888888888889,4.75
4.0,156.0,105.0,2745.0,16.7,78.0,0.15904761904761905,4.175
4.0,79.0,58.0,1825.0,18.6,77.0,0.3206896551724138,4.65
8.0,429.0,198.0,4341.0,10.0,70.0,0.050505050505050504,1.25
8.0,307.0,130.0,3504.0,12.0,70.0,0.09230769230769231,1.5
4.0,85.0,65.0,2020.0,19.2,79.0,0.29538461538461536,4.8
4.0,105.0,63.0,2215.0,14.9,81.0,0.2365079365079365,3.725
4.0,97.0,46.0,1835.0,20.5,70.0,0.44565217391304346,5.125
4.0,101.0,83.0,2202.0,15.3,76.0,0.18433734939759036,3.825
4.0,120.0,88.0,2957.0,17.0,75.0,0.19318181818181818,4.25
4.0,90.0,71.0,2223.0,16.5,75.0,0.2323943661971831,4.125
4.0,120.0,88.0,3270.0,21.9,76.0,0.24886363636363634,5.475
4.0,122.0,96.0,2300.0,15.5,77.0,0.16145833333333334,3.875
6.0,225.0,95.0,3785.0,19.0,75.0,0.2,3.1666666666666665
4.0,71.0,65.0,1836.0,21.0,74.0,0.3230769230769231,5.25
4.0,121.0,112.0,2933.0,14.5,72.0,0.12946428571428573,3.625
4.0,119.0,97.0,2545.0,17.0,75.0,0.17525773195876287,4.25
4.0,151.0,85.0,2855.0,17.6,78.0,0.2070588235294118,4.4
4.0,114.0,91.0,2582.0,14.0,73.0,0.15384615384615385,3.5
5.0,121.0,67.0,2950.0,19.9,80.0,0.2970149253731343,3.9799999999999995
6.0,250.0,100.0,3781.0,17.0,74.0,0.17,2.8333333333333335
4.0,91.0,69.0,2130.0,14.7,79.0,0.21304347826086956,3.675
4.0,90.0,48.0,2335.0,23.7,80.0,0.49374999999999997,5.925
4.0,97.0,60.0,1834.0,19.0,71.0,0.31666666666666665,4.75
8.0,302.0,130.0,3870.0,15.0,76.0,0.11538461538461539,1.875
6.0,198.0,95.0,3102.0,16.5,74.0,0.1736842105263158,2.75
6.0,146.0,97.0,2815.0,14.5,77.0,0.14948453608247422,2.4166666666666665
8.0,350.0,165.0,4209.0,12.0,71.0,0.07272727272727272,1.5
4.0,120.0,88.0,2160.0,14.5,82.0,0.16477272727272727,3.625
8.0,340.0,160.0,3609.0,8.0,70.0,0.05,1.0
8.0,400.0,170.0,4746.0,12.0,71.0,0.07058823529411765,1.5
4.0,140.0,90.0,2264.0,15.5,71.0,0.17222222222222222,3.875
6.0,258.0,110.0,2962.0,13.5,71.0,0.12272727272727273,2.25
4.0,141.0,80.0,3230.0,20.4,81.0,0.255,5.1
4.0,91.0,67.0,1965.0,15.7,82.0,0.2343283582089552,3.925
4.0,98.0,60.0,2164.0,22.1,76.0,0.36833333333333335,5.525
6.0,225.0,90.0,3381.0,18.7,80.0,0.20777777777777778,3.1166666666666667
4.0,105.0,74.0,1980.0,15.3,82.0,0.20675675675675675,3.825
4.0,121.0,115.0,2671.0,13.5,75.0,0.11739130434782609,3.375
8.0,304.0,120.0,3962.0,13.9,76.0,0.11583333333333333,1.7375
3.0,70.0,100.0,2420.0,12.5,80.0,0.125,4.166666666666667
4.0,98.0,65.0,2380.0,20.7,81.0,0.31846153846153846,5.175
4.0,105.0,70.0,2200.0,13.2,79.0,0.18857142857142856,3.3
4.0,135.0,84.0,2490.0,15.7,81.0,0.1869047619047619,3.925
4.0,81.0,60.0,1760.0,16.1,81.0,0.26833333333333337,4.025
8.0,260.0,90.0,3420.0,22.2,79.0,0.24666666666666665,2.775
8.0,302.0,137.0,4042.0,14.5,73.0,0.10583941605839416,1.8125
8.0,318.0,150.0,4237.0,14.5,73.0,0.09666666666666666,1.8125
6.0,258.0,95.0,3193.0,17.8,76.0,0.18736842105263157,2.966666666666667
8.0,318.0,150.0,4498.0,14.5,75.0,0.09666666666666666,1.8125
4.0,97.0,71.0,1825.0,12.2,76.0,0.17183098591549295,3.05
6.0,232.0,90.0,3211.0,17.0,75.0,0.18888888888888888,2.8333333333333335
8.0,318.0,150.0,4457.0,13.5,74.0,0.09,1.6875
4.0,107.0,72.0,2290.0,17.0,80.0,0.2361111111111111,4.25
8.0,318.0,150.0,3777.0,12.5,73.0,0.08333333333333333,1.5625
8.0,350.0,155.0,4360.0,14.9,79.0,0.09612903225806452,1.8625
4.0,121.0,110.0,2600.0,12.8,77.0,0.11636363636363636,3.2
4.0,98.0,79.0,2255.0,17.7,76.0,0.2240506329113924,4.425
8.0,304.0,150.0,3892.0,12.5,72.0,0.08333333333333333,1.5625
6.0,232.0,100.0,2789.0,15.0,73.0,0.15,2.5
4.0,91.0,68.0,2025.0,18.2,82.0,0.2676470588235294,4.55
4.0,140.0,83.0,2639.0,17.0,75.0,0.20481927710843373,4.25
4.0,97.0,67.0,1985.0,16.4,77.0,0.24477611940298505,4.1
4.0,112.0,88.0,2605.0,19.6,82.0,0.22272727272727275,4.9
6.0,250.0,98.0,3525.0,19.0,77.0,0.19387755102040816,3.1666666666666665
8.0,400.0,150.0,4464.0,12.0,73.0,0.08,1.5
6.0,225.0,95.0,3264.0,16.0,75.0,0.16842105263157894,2.6666666666666665
8.0,455.0,225.0,4425.0,10.0,70.0,0.044444444444444446,1.25
6.0,231.0,105.0,3380.0,15.8,78.0,0.15047619047619049,2.6333333333333333
8.0,350.0,180.0,4380.0,12.1,76.0,0.06722222222222222,1.5125
4.0,134.0,95.0,2515.0,14.8,78.0,0.15578947368421053,3.7
8.0,350.0,150.0,4699.0,14.5,74.0,0.09666666666666666,1.8125
8.0,302.0,140.0,4294.0,16.0,72.0,0.11428571428571428,2.0
6.0,198.0,95.0,2833.0,15.5,70.0,0.1631578947368421,2.5833333333333335
6.0,231.0,110.0,3415.0,15.8,81.0,0.14363636363636365,2.6333333333333333
4.0,121.0,76.0,2511.0,18.0,72.0,0.23684210526315788,4.5
8.0,350.0,145.0,3988.0,13.0,73.0,0.0896551724137931,1.625
4.0,91.0,53.0,1795.0,17.4,76.0,0.3283018867924528,4.35
4.0,98.0,83.0,2075.0,15.9,77.0,0.19156626506024096,3.975
8.0,318.0,150.0,3940.0,13.2,76.0,0.088,1.65
4.0,112.0,88.0,2640.0,18.6,82.0,0.2113636363636364,4.65
6.0,250.0,105.0,3459.0,16.0,75.0,0.1523809523809524,2.6666666666666665
6.0,250.0,88.0,3302.0,15.5,71.0,0.17613636363636365,2.5833333333333335
8.0,350.0,165.0,3693.0,11.5,70.0,0.0696969696969697,1.4375
8.0,302.0,140.0,3449.0,10.5,70.0,0.075,1.3125
4.0,151.0,90.0,2950.0,17.3,82.0,0.19222222222222224,4.325
4.0,115.0,95.0,2694.0,15.0,75.0,0.15789473684210525,3.75
4.0,97.0,67.0,2145.0,18.0,80.0,0.26865671641791045,4.5
4.0,105.0,63.0,2125.0,14.7,82.0,0.2333333333333333,3.675
4.0,130.0,102.0,3150.0,15.7,76.0,0.15392156862745096,3.925
8.0,302.0,139.0,3205.0,11.2,78.0,0.08057553956834532,1.4
3.0,70.0,90.0,2124.0,13.5,73.0,0.15,4.5
4.0,121.0,80.0,2670.0,15.0,79.0,0.1875,3.75
8.0,400.0,167.0,4906.0,12.5,73.0,0.0748502994011976,1.5625
4.0,97.0,67.0,2065.0,17.8,81.0,0.2656716417910448,4.45
4.0,79.0,58.0,1755.0,16.9,81.0,0.29137931034482756,4.225
8.0,350.0,145.0,4082.0,13.0,73.0,0.0896551724137931,1.625
4.0,89.0,71.0,1925.0,14.0,79.0,0.19718309859154928,3.5
6.0,262.0,85.0,3015.0,17.0,82.0,0.2,2.8333333333333335
8.0,318.0,150.0,4135.0,13.5,72.0,0.09,1.6875
4.0,122.0,80.0,2451.0,16.5,74.0,0.20625,4.125
8.0,360.0,175.0,3821.0,11.0,73.0,0.06285714285714286,1.375
4.0,98.0,92.0,2046.0,19.0,71.0,0.20652173913043478,4.75
4.0,85.0,65.0,2110.0,19.2,80.0,0.29538461538461536,4.8
4.0,91.0,60.0,1800.0,16.4,78.0,0.2733333333333333,4.1
4.0,85.0,70.0,1945.0,16.8,77.0,0.24000000000000002,4.2
4.0,120.0,79.0,2625.0,18.6,82.0,0.23544303797468355,4.65
4.0,108.0,75.0,2350.0,16.8,81.0,0.224,4.2
8.0,350.0,165.0,4274.0,12.0,72.0,0.07272727272727272,1.5
4.0,121.0,112.0,2868.0,15.5,73.0,0.13839285714285715,3.875
4.0,119.0,82.0,2720.0,19.4,82.0,0.23658536585365852,4.85
8.0,307.0,200.0,4376.0,15.0,70.0,0.075,1.875
6.0,200.0,92.0,2875.0,17.0,74.0,0.18478260869565216,2.8333333333333335
4.0,90.0,48.0,2085.0,21.7,80.0,0.45208333333333334,5.425
4.0,88.0,76.0,2065.0,14.5,71.0,0.19078947368421054,3.625
4.0,121.0,113.0,2234.0,12.5,70.0,0.11061946902654868,3.125
4.0,151.0,90.0,2735.0,18.0,82.0,0.2,4.5
4.0,122.0,86.0,2226.0,16.5,72.0,0.19186046511627908,4.125
8.0,383.0,170.0,3563.0,10.0,70.0,0.058823529411764705,1.25
4.0,97.0,54.0,2254.0,23.5,72.0,0.4351851851851852,5.875
4.0,97.0,75.0,2171.0,16.0,75.0,0.21333333333333335,4.0
8.0,302.0,130.0,4295.0,14.9,77.0,0.11461538461538462,1.8625
6.0,225.0,100.0,3651.0,17.7,76.0,0.177,2.9499999999999997
6.0,225.0,105.0,3121.0,16.5,73.0,0.15714285714285714,2.75
8.0,351.0,138.0,3955.0,13.2,79.0,0.09565217391304347,1.65
4.0,90.0,75.0,2108.0,15.5,74.0,0.20666666666666667,3.875
8.0,400.0,170.0,4668.0,11.5,75.0,0.06764705882352941,1.4375
4.0,135.0,84.0,2295.0,11.6,82.0,0.1380952380952381,2.9
4.0,113.0,95.0,2372.0,15.0,70.0,0.15789473684210525,3.75
6.0,146.0,120.0,2930.0,13.8,81.0,0.115,2.3000000000000003
